JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458753.58321,14.167,0.036,,V,MBRB,,130,120,,,0,3.434,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58417,14.187,0.037,,V,MBRB,,130,120,,,0,3.460,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58448,14.163,0.036,,V,MBRB,,130,120,,,0,3.468,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58479,14.179,0.035,,V,MBRB,,130,120,,,0,3.477,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58510,14.095,0.035,,V,MBRB,,130,120,,,0,3.485,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58540,14.191,0.037,,V,MBRB,,130,120,,,0,3.494,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58571,14.125,0.035,,V,MBRB,,130,120,,,0,3.503,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58602,14.194,0.037,,V,MBRB,,130,120,,,0,3.512,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58633,14.180,0.037,,V,MBRB,,130,120,,,0,3.520,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58664,14.179,0.037,,V,MBRB,,130,120,,,0,3.529,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58694,14.152,0.037,,V,MBRB,,130,120,,,0,3.538,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58725,14.183,0.038,,V,MBRB,,130,120,,,0,3.547,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58755,14.169,0.038,,V,MBRB,,130,120,,,0,3.556,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58783,14.176,0.040,,V,MBRB,,130,120,,,0,3.565,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58810,14.114,0.037,,V,MBRB,,130,120,,,0,3.573,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58841,14.212,0.038,,V,MBRB,,130,120,,,0,3.582,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58869,14.139,0.037,,V,MBRB,,130,120,,,0,3.591,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58895,14.221,0.040,,V,MBRB,,130,120,,,0,3.599,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58922,14.183,0.040,,V,MBRB,,130,120,,,0,3.607,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58953,14.229,0.040,,V,MBRB,,130,120,,,0,3.617,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.58981,14.209,0.040,,V,MBRB,,130,120,,,0,3.625,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.59008,14.162,0.039,,V,MBRB,,130,120,,,0,3.634,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.59038,14.190,0.040,,V,MBRB,,130,120,,,0,3.644,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.59069,14.163,0.040,,V,MBRB,,130,120,,,0,3.654,Z,13.029,12.011,,V3890 SGR,,STD,,,,
2458753.59099,14.202,0.043,,V,MBRB,,130,120,,,0,3.663,Z,13.029,12.011,,V3890 SGR,,STD,,,,
